date,returns
2023-01-05,0.019428
2023-01-06,0.003102
2023-01-09,0.008096
2023-01-10,0.001085
2023-01-11,-0.001853
2023-01-12,0.001955
2023-01-13,0.014064
2023-01-16,0.015607
2023-01-17,-0.000175
2023-01-18,-0.001675
2023-01-19,0.006221
2023-01-20,0.00614
2023-01-30,0.004739
2023-01-31,-0.010589
2023-02-01,0.0094
2023-02-02,-0.003523
2023-02-03,-0.009451
2023-02-06,-0.01322
2023-02-07,0.0018
2023-02-08,-0.004419
2023-02-09,0.013423
2023-02-10,-0.005942
2023-02-13,0.009075
2023-02-14,0.000414
2023-02-15,-0.005211
2023-02-16,-0.007324
2023-02-17,-0.014408
2023-02-20,0.024534
2023-02-21,0.002628
2023-02-22,-0.009025
2023-02-23,-0.000805
2023-02-24,-0.010381
2023-02-27,-0.004236
2023-02-28,0.006334
2023-03-01,0.014125
2023-03-02,-0.00223
2023-03-03,0.003112
2023-03-06,-0.005215
2023-03-07,-0.014641
2023-03-08,-0.003642
2023-03-09,-0.003534
2023-03-10,-0.013114
2023-03-13,0.010474
2023-03-14,-0.005985
2023-03-15,0.000554
2023-03-16,-0.011977
2023-03-17,0.004993
2023-03-20,-0.004987
2023-03-21,0.010993
2023-03-22,0.004285
2023-03-23,0.009913
2023-03-24,-0.002982
2023-03-27,-0.003618
2023-03-28,-0.003231
2023-03-29,0.001658
2023-03-30,0.008083
2023-03-31,0.00307
2023-04-03,0.009786
2023-04-04,0.003065
2023-04-06,-0.001576
2023-04-07,0.006503
2023-04-10,-0.004479
2023-04-11,-0.001136
2023-04-12,-0.000698
2023-04-13,-0.006909
2023-04-14,0.005657
2023-04-17,0.014024
2023-04-18,0.003048
2023-04-19,-0.009004
2023-04-20,-0.002798
2023-04-21,-0.01956
2023-04-24,-0.01238
2023-04-25,-0.005016
2023-04-26,-0.000866
2023-04-27,0.007372
2023-04-28,0.010196
2023-05-04,0.000288
2023-05-05,-0.003317
2023-05-08,0.011398
2023-05-09,-0.008563
2023-05-10,-0.007698
2023-05-11,-0.001553
2023-05-12,-0.013256
2023-05-15,0.015523
2023-05-16,-0.005172
2023-05-17,-0.004535
2023-05-18,-0.001034
2023-05-19,-0.002914
2023-05-22,0.006284
2023-05-23,-0.014143
2023-05-24,-0.013824
2023-05-25,-0.002227
2023-05-26,0.000117
2023-05-29,-0.004417
2023-05-30,0.000994
2023-05-31,-0.010217
2023-06-01,0.002191
2023-06-02,0.014439
2023-06-05,-0.004553
2023-06-06,-0.009387
2023-06-07,-0.004942
2023-06-08,0.00814
2023-06-09,0.004323
2023-06-12,0.002015
2023-06-13,0.005326
2023-06-14,-0.000228
2023-06-15,0.015909
2023-06-16,0.009642
2023-06-19,-0.008186
2023-06-20,-0.001697
2023-06-21,-0.015342
2023-06-26,-0.014062
2023-06-27,0.009381
2023-06-28,-0.001205
2023-06-29,-0.004935
2023-06-30,0.005392
2023-07-03,0.013125
2023-07-04,0.001575
2023-07-05,-0.007748
2023-07-06,-0.006734
2023-07-07,-0.004438
2023-07-10,0.004869
2023-07-11,0.006545
2023-07-12,-0.006732
2023-07-13,0.014306
2023-07-14,0.000174
2023-07-17,-0.008188
2023-07-18,-0.003164
2023-07-19,-0.001057
2023-07-20,-0.007056
2023-07-21,-0.000467
2023-07-24,-0.004367
2023-07-25,0.02888
2023-07-26,-0.00207
2023-07-27,-0.001195
2023-07-28,0.023163
