date,returns
2020-12-07,-0.00202
2020-12-08,0.000203
2020-12-09,-0.019579
2020-12-10,0.000405
2020-12-11,-0.016192
2020-12-14,0.012092
2020-12-15,0.002993
2020-12-16,-0.008056
2020-12-17,0.008329
2020-12-18,-0.003707
2020-12-21,0.017979
2020-12-22,-0.021164
2020-12-23,0.007828
2020-12-24,-0.015894
2020-12-25,0.009998
2020-12-28,-0.006371
2020-12-29,-0.006474
2020-12-30,0.00766
2020-12-31,0.018323
