date,returns
2021-01-04,0.022913
2021-01-05,0.001277
2021-01-06,-0.012119
2021-01-07,-0.016119
2021-01-08,-0.004714
2021-01-11,-0.016613
2021-01-12,0.013709
2021-01-13,-0.007783
2021-01-14,-0.001046
2021-01-15,0.003325
2021-01-18,0.018938
2021-01-19,-0.005716
2021-01-20,0.008675
2021-01-21,0.011041
2021-01-22,-0.003438
2021-01-25,-0.009617
2021-01-26,-0.018502
2021-01-27,0.00056
2021-01-28,-0.021204
2021-01-29,-0.014847
2021-02-01,0.006614
2021-02-02,0.01129
2021-02-03,-0.017152
2021-02-04,-0.02214
2021-02-05,-0.019853
2021-02-08,0.007199
2021-02-09,0.027131
2021-02-10,0.007882
2021-02-18,0.016069
2021-02-19,0.019213
2021-02-22,0.001061
2021-02-23,-0.006827
2021-02-24,-0.008032
2021-02-25,-0.005979
2021-02-26,-0.011555
2021-03-01,0.026837
2021-03-02,-0.004392
2021-03-03,0.013448
2021-03-04,-0.018112
2021-03-05,0.003323
2021-03-08,-0.019923
2021-03-09,-0.031823
2021-03-10,-0.007841
2021-03-11,0.023266
2021-03-12,0.000131
2021-03-15,-0.006871
2021-03-16,0.00902
2021-03-17,0.007078
2021-03-18,0.003394
2021-03-19,-0.007632
2021-03-22,0.017403
2021-03-23,-0.011101
2021-03-24,-0.014745
2021-03-25,-0.000897
2021-03-26,0.01787
2021-03-29,0.00401
2021-03-30,-0.003955
2021-03-31,-0.0013
2021-04-01,0.006737
2021-04-02,0.004018
2021-04-06,0.009469
2021-04-07,0.000199
2021-04-08,-0.002901
2021-04-09,-0.000719
2021-04-12,-0.021271
2021-04-13,-0.005151
2021-04-14,0.014272
2021-04-15,-0.003712
2021-04-16,0.011472
2021-04-19,0.017043
2021-04-20,-0.00305
2021-04-21,1.3e-05
2021-04-22,0.004258
2021-04-23,-0.00492
2021-04-26,-0.003442
2021-04-27,-0.004693
2021-04-28,0.005678
2021-04-29,-0.004993
2021-04-30,-0.003586
2021-05-06,0.002554
2021-05-07,-0.012219
2021-05-10,0.002899
2021-05-11,0.000834
2021-05-12,0.012055
2021-05-13,-0.007059
2021-05-14,0.013719
2021-05-17,-0.000805
2021-05-18,0.004575
2021-05-19,0.000328
2021-05-20,-0.000942
2021-05-21,-0.00038
2021-05-24,0.00887
2021-05-25,0.011909
2021-05-26,0.004389
2021-05-27,0.009074
2021-05-28,-0.001596
2021-05-31,0.017928
2021-06-01,0.005924
2021-06-02,-0.013899
2021-06-03,-0.000797
2021-06-04,0.004698
2021-06-07,0.011207
2021-06-08,-0.007576
2021-06-09,0.001989
2021-06-10,0.010962
2021-06-11,-0.006557
2021-06-15,-0.005524
2021-06-16,-0.020818
2021-06-17,0.017147
2021-06-18,0.011204
2021-06-21,0.015237
2021-06-22,0.004586
2021-06-23,0.00656
2021-06-24,-0.010152
2021-06-25,0.003697
2021-06-28,0.009005
2021-06-29,-0.008376
2021-06-30,0.011335
2021-07-01,-0.016117
2021-07-02,-0.008695
2021-07-05,0.014151
2021-07-06,-0.003944
2021-07-07,0.015848
2021-07-08,0.001375
2021-07-09,0.006126
2021-07-12,0.019787
2021-07-13,0.00652
2021-07-14,-0.01199
2021-07-15,-0.000303
2021-07-16,-0.001831
