,date,local_high,local_open,local_low,local_close,open,high,low,close,volume,average,barCount
0,2023-05-23 10:06:00,2018.3,2018.3,2018.3,2018.3,2029.0,2029.0,2029.0,2029.0,0.0,2029.0,0
1,2023-05-23 10:36:00,2019.6,2019.6,2019.6,2019.6,2025.5,2025.5,2025.5,2025.5,1.0,2025.5,1
2,2023-05-23 10:38:00,2020.2,2020.2,2020.2,2020.2,2025.0,2025.0,2024.8,2024.8,21.0,2024.9,3
3,2023-05-23 10:40:00,2020.0,2020.0,2020.0,2020.0,2024.8,2024.8,2024.8,2024.8,0.0,2024.8,0
4,2023-05-23 10:52:00,2021.6,2021.6,2021.6,2021.6,2026.4,2026.4,2026.4,2026.4,1.0,2026.4,1
5,2023-05-23 11:20:00,2018.6,2018.6,2018.6,2018.6,2024.5,2024.5,2024.4,2024.4,10.0,2024.47,10
6,2023-05-23 12:32:00,2020.9,2020.9,2020.9,2020.9,2027.9,2027.9,2027.9,2027.9,1.0,2027.9,1
7,2023-05-23 12:40:00,2022.2,2022.2,2022.2,2022.2,2031.4,2031.4,2031.4,2031.4,0.0,2031.4,0
8,2023-05-23 13:26:00,2020.2,2020.3,2020.3,2020.2,2030.9,2030.9,2030.9,2030.9,2.0,2030.9,1
9,2023-05-23 13:32:00,2018.9,2019.0,2019.1,2018.7,2031.6,2031.6,2031.6,2031.6,0.0,2031.6,0
10,2023-05-23 13:34:00,2018.5,2017.8,2018.5,2017.8,2031.6,2031.6,2031.6,2031.6,0.0,2031.6,0
11,2023-05-23 13:42:00,2018.0,2018.0,2018.0,2018.0,2032.2,2032.2,2032.2,2032.2,0.0,2032.2,0
12,2023-05-23 13:44:00,2018.0,2018.0,2018.0,2018.0,2032.2,2032.2,2032.2,2032.2,0.0,2032.2,0
13,2023-05-23 13:52:00,2019.2,2019.1,2019.2,2019.1,2032.2,2032.2,2032.2,2032.2,0.0,2032.2,0
14,2023-05-23 13:54:00,2018.9,2018.9,2018.9,2018.9,2032.2,2032.2,2032.2,2032.2,0.0,2032.2,0
15,2023-05-23 13:56:00,2018.3,2018.4,2018.4,2018.3,2032.2,2032.2,2032.2,2032.2,0.0,2032.2,0
16,2023-05-23 13:58:00,2017.9,2017.9,2017.9,2017.9,2032.2,2032.2,2032.2,2032.2,0.0,2032.2,0
17,2023-05-23 14:06:00,2017.6,2017.6,2017.6,2017.6,2032.2,2032.2,2032.2,2032.2,0.0,2032.2,0
18,2023-05-23 14:10:00,2019.0,2019.0,2019.0,2019.0,2032.3,2032.3,2032.3,2032.3,2.0,2032.3,1
19,2023-05-23 14:12:00,2019.1,2019.3,2019.3,2019.1,2032.3,2032.3,2032.3,2032.3,2.0,2032.3,2
20,2023-05-23 14:14:00,2020.2,2020.0,2020.2,2020.0,2033.0,2033.4,2033.0,2033.4,11.0,2033.15,4
21,2023-05-23 14:16:00,2021.4,2021.4,2021.4,2021.4,2032.6,2032.6,2032.6,2032.6,1.0,2032.6,1
22,2023-05-23 14:20:00,2021.4,2021.2,2021.4,2021.1,2032.6,2032.6,2032.6,2032.6,0.0,2032.6,0
23,2023-05-23 14:22:00,2020.5,2020.1,2020.7,2020.1,2032.6,2032.6,2032.6,2032.6,0.0,2032.6,0
24,2023-05-23 14:24:00,2020.0,2019.8,2020.0,2019.7,2032.6,2032.6,2032.6,2032.6,0.0,2032.6,0
25,2023-05-23 14:26:00,2019.7,2019.8,2019.8,2019.7,2032.6,2032.6,2032.6,2032.6,0.0,2032.6,0
26,2023-05-23 14:28:00,2020.7,2020.7,2020.7,2020.7,2033.4,2033.4,2033.4,2033.4,3.0,2033.4,1
27,2023-05-23 14:36:00,2019.8,2019.8,2019.8,2019.8,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
28,2023-05-23 14:40:00,2019.4,2019.1,2019.4,2019.1,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
29,2023-05-23 14:42:00,2019.8,2019.7,2019.8,2019.7,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
30,2023-05-23 14:44:00,2019.1,2019.1,2019.1,2019.1,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
31,2023-05-23 14:58:00,2019.8,2019.7,2019.8,2019.7,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
32,2023-05-23 15:04:00,2018.5,2018.5,2018.5,2018.5,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
33,2023-05-23 15:14:00,2015.4,2015.4,2015.4,2015.4,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
34,2023-05-23 15:46:00,2014.9,2014.9,2014.9,2014.9,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
35,2023-05-23 15:50:00,2015.6,2015.6,2015.6,2015.6,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
36,2023-05-23 15:58:00,2014.9,2014.9,2014.9,2014.9,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
37,2023-05-23 16:04:00,2012.7,2012.7,2012.7,2012.7,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
38,2023-05-23 16:08:00,2011.6,2011.6,2011.6,2011.6,2033.4,2033.4,2033.4,2033.4,0.0,2033.4,0
39,2023-05-23 16:18:00,2014.7,2014.7,2014.7,2014.7,2032.6,2032.6,2032.6,2032.6,0.0,2032.6,0
40,2023-05-23 16:48:00,2017.0,2017.0,2017.0,2017.0,2032.7,2032.7,2032.7,2032.7,0.0,2032.7,0
