,date,local_high,local_open,local_low,local_close,open,high,low,close,volume,average,barCount
0,2023-05-25 09:50:00,2014.1,2014.1,2014.1,2014.1,2004.7,2004.7,2004.7,2004.7,0.0,2004.7,0
1,2023-05-25 10:18:00,2014.5,2014.5,2014.5,2014.5,2006.4,2007.1,2006.4,2007.1,3.0,2006.8,3
2,2023-05-25 10:20:00,2014.4,2014.4,2014.4,2014.4,2007.1,2007.1,2007.1,2007.1,0.0,2007.1,0
3,2023-05-25 12:52:00,2014.2,2014.2,2014.2,2014.2,2001.8,2001.8,2001.8,2001.8,0.0,2001.8,0
4,2023-05-25 13:48:00,2012.2,2012.2,2012.2,2012.2,2000.6,2000.6,2000.6,2000.6,0.0,2000.6,0
5,2023-05-25 13:56:00,2012.0,2012.0,2012.0,2012.0,2001.5,2001.5,2001.5,2001.5,1.0,2001.5,1
6,2023-05-25 14:00:00,2013.0,2013.0,2013.0,2013.0,2001.5,2001.5,2001.5,2001.5,0.0,2001.5,0
7,2023-05-25 14:14:00,2013.6,2013.6,2013.6,2013.6,1999.1,1999.1,1999.1,1999.1,1.0,1999.1,1
8,2023-05-25 14:28:00,2013.7,2013.7,2013.7,2013.7,2000.0,2000.0,2000.0,2000.0,0.0,2000.0,0
9,2023-05-25 14:30:00,2013.5,2013.5,2013.5,2013.5,2000.0,2000.0,2000.0,2000.0,0.0,2000.0,0
10,2023-05-25 15:30:00,2017.4,2017.4,2017.4,2017.4,1998.1,1998.2,1998.1,1998.2,11.0,1998.19,4
11,2023-05-25 16:08:00,2017.5,2017.7,2017.7,2017.5,1997.7,1997.7,1997.7,1997.7,1.0,1997.7,1
12,2023-05-25 16:26:00,2020.9,2020.9,2020.9,2020.9,1998.0,1998.0,1998.0,1998.0,0.0,1998.0,0
13,2023-05-25 16:40:00,2021.4,2021.4,2021.4,2021.4,1998.0,1998.0,1998.0,1998.0,0.0,1998.0,0
14,2023-05-25 16:42:00,2021.0,2021.0,2021.0,2021.0,1998.0,1998.0,1998.0,1998.0,0.0,1998.0,0
15,2023-05-25 16:44:00,2020.4,2020.4,2020.4,2020.4,1998.0,1998.0,1998.0,1998.0,0.0,1998.0,0
